task_id,type,complexity,worker,strategy,latency_s,status,reason,timestamp
task-0001,normal,0.1459,worker-2,round_robin,0.1736,completed,,2026-04-11T13:26:38.239294+00:00
task-0002,normal,0.0538,worker-3,round_robin,0.0477,completed,,2026-04-11T13:26:38.459642+00:00
task-0003,normal,0.0913,worker-1,round_robin,0.0861,completed,,2026-04-11T13:26:38.691932+00:00
task-0004,normal,0.0835,worker-2,round_robin,0.0926,completed,,2026-04-11T13:26:38.927493+00:00
task-0005,normal,0.1605,worker-3,round_robin,0.1796,completed,,2026-04-11T13:26:39.246617+00:00
task-0006,normal,0.1515,worker-1,round_robin,0.1664,completed,,2026-04-11T13:26:39.573509+00:00
task-0007,normal,0.1838,worker-2,round_robin,0.1533,completed,,2026-04-11T13:26:39.886392+00:00
task-0008,normal,0.063,worker-3,round_robin,0.0619,completed,,2026-04-11T13:26:40.093313+00:00
task-0009,normal,0.1133,worker-1,round_robin,0.103,completed,,2026-04-11T13:26:40.348703+00:00
task-0010,normal,0.0545,worker-2,round_robin,0.0479,completed,,2026-04-11T13:26:40.525573+00:00
task-0001,normal,0.0828,worker-3,round_robin,0.0738,completed,,2026-04-11T13:26:40.734280+00:00
task-0002,normal,0.1258,worker-1,round_robin,0.1171,completed,,2026-04-11T13:26:41.007704+00:00
task-0003,normal,0.054,worker-2,round_robin,0.0644,completed,,2026-04-11T13:26:41.207060+00:00
task-0004,normal,0.0798,worker-3,round_robin,0.0877,completed,,2026-04-11T13:26:41.416463+00:00
task-0005,normal,0.1475,worker-1,round_robin,0.1722,completed,,2026-04-11T13:26:41.732915+00:00
task-0100,burst,0.5725,worker-2,round_robin,0.6648,completed,,2026-04-11T13:26:42.556479+00:00
task-0101,burst,0.4102,worker-3,round_robin,0.3935,completed,,2026-04-11T13:26:43.017296+00:00
task-0102,burst,0.5946,worker-1,round_robin,0.6541,completed,,2026-04-11T13:26:43.739876+00:00
task-0103,burst,0.7047,worker-2,round_robin,0.6476,completed,,2026-04-11T13:26:44.447823+00:00
task-0104,burst,0.3032,worker-3,round_robin,0.2483,completed,,2026-04-11T13:26:44.777651+00:00
task-0105,burst,0.7029,worker-1,round_robin,0.8035,completed,,2026-04-11T13:26:45.649093+00:00
task-0106,burst,0.6491,worker-2,round_robin,0.5446,completed,,2026-04-11T13:26:46.255348+00:00
task-0107,burst,0.4701,worker-3,round_robin,0.3836,completed,,2026-04-11T13:26:46.713529+00:00
task-0200,normal,0.0733,worker-1,round_robin,0.0771,completed,,2026-04-11T13:26:46.873057+00:00
task-0201,normal,0.1936,worker-2,round_robin,0.1726,completed,,2026-04-11T13:26:47.203576+00:00
task-0202,normal,0.1005,worker-3,round_robin,0.1104,completed,,2026-04-11T13:26:47.467503+00:00
task-0203,normal,0.0639,worker-1,round_robin,0.0754,completed,,2026-04-11T13:26:47.697583+00:00
task-0204,normal,0.0645,worker-2,round_robin,0.068,completed,,2026-04-11T13:26:47.939970+00:00
task-0205,normal,0.1771,worker-3,round_robin,0.1675,completed,,2026-04-11T13:26:48.259657+00:00
task-0206,normal,0.1406,worker-1,round_robin,0.1615,completed,,2026-04-11T13:26:48.576382+00:00
task-0001,normal,0.1711,worker-2,round_robin,0.1764,completed,,2026-04-11T13:26:48.891345+00:00
task-0002,normal,0.1595,worker-3,round_robin,0.1548,completed,,2026-04-11T13:26:49.188044+00:00
task-0003,normal,0.1304,worker-1,round_robin,0.1167,completed,,2026-04-11T13:26:49.465941+00:00
task-0004,normal,0.196,worker-2,round_robin,0.2149,completed,,2026-04-11T13:26:49.832010+00:00
task-0005,normal,0.1068,worker-3,round_robin,0.0973,completed,,2026-04-11T13:26:50.077004+00:00
task-0300,normal,0.1328,worker-1,round_robin,0.1079,completed,,2026-04-11T13:26:50.358019+00:00
task-0301,normal,0.1744,worker-3,round_robin,0.1502,completed,,2026-04-11T13:26:50.658094+00:00
task-0302,normal,0.1428,worker-1,round_robin,0.1348,completed,,2026-04-11T13:26:50.953134+00:00
task-0303,normal,0.1793,worker-3,round_robin,0.1555,completed,,2026-04-11T13:26:51.270303+00:00
task-0304,normal,0.1366,worker-1,round_robin,0.1443,completed,,2026-04-11T13:26:51.568694+00:00
