task_id,type,complexity,worker,strategy,latency_s,status,reason,timestamp
task-0001,normal,0.1459,node-1,least_loaded,0.022,completed,,2026-05-04T17:03:45.114966+00:00
task-0002,normal,0.0538,node-1,least_loaded,0.004,completed,,2026-05-04T17:03:45.261322+00:00
task-0003,normal,0.0913,node-1,least_loaded,0.01,completed,,2026-05-04T17:03:45.409191+00:00
task-0004,normal,0.0835,node-1,least_loaded,0.008,completed,,2026-05-04T17:03:45.629812+00:00
task-0005,normal,0.1605,node-1,least_loaded,0.022,completed,,2026-05-04T17:03:45.802136+00:00
task-0100,burst,0.6383,node-1,least_loaded,0.058,completed,,2026-05-04T17:03:45.997622+00:00
task-0101,burst,0.7461,node-1,least_loaded,0.058,completed,,2026-05-04T17:03:46.134749+00:00
task-0102,burst,0.3435,node-1,least_loaded,0.048,completed,,2026-05-04T17:03:47.266898+00:00
task-0103,burst,0.511,node-1,least_loaded,0.05,completed,,2026-05-04T17:03:47.429628+00:00
task-0104,burst,0.3149,node-1,least_loaded,0.028,completed,,2026-05-04T17:03:47.527811+00:00
task-0105,burst,0.4093,node-1,least_loaded,0.03,completed,,2026-05-04T17:03:47.617443+00:00
task-0106,burst,0.5527,node-1,least_loaded,0.039,completed,,2026-05-04T17:03:47.729183+00:00
task-0107,burst,0.3133,node-1,least_loaded,0.029,completed,,2026-05-04T17:03:47.841176+00:00
task-0108,burst,0.3994,node-1,least_loaded,0.056,completed,,2026-05-04T17:03:47.957074+00:00
task-0109,burst,0.6249,node-1,least_loaded,0.085,completed,,2026-05-04T17:03:48.104506+00:00
task-0110,burst,0.5725,node-1,least_loaded,0.073,completed,,2026-05-04T17:03:48.250529+00:00
task-0111,burst,0.4102,node-1,least_loaded,0.061,completed,,2026-05-04T17:03:48.393350+00:00
task-0112,burst,0.5946,node-1,least_loaded,0.031,completed,,2026-05-04T17:03:48.520357+00:00
task-0113,burst,0.7047,node-1,least_loaded,0.05,completed,,2026-05-04T17:03:48.652909+00:00
task-0114,burst,0.3032,node-1,least_loaded,0.038,completed,,2026-05-04T17:03:48.780504+00:00
task-0115,burst,0.7029,node-1,least_loaded,0.069,completed,,2026-05-04T17:03:48.971908+00:00
task-0116,burst,0.6491,node-1,least_loaded,0.062,completed,,2026-05-04T17:03:49.096611+00:00
task-0117,burst,0.4701,node-1,least_loaded,0.051,completed,,2026-05-04T17:03:49.268682+00:00
task-0118,burst,0.3777,node-1,least_loaded,0.03,completed,,2026-05-04T17:03:49.386991+00:00
task-0119,burst,0.7786,node-1,least_loaded,0.06,completed,,2026-05-04T17:03:49.642984+00:00
task-0120,burst,0.4683,node-1,least_loaded,0.05,completed,,2026-05-04T17:03:56.791997+00:00
task-0121,burst,0.3464,node-1,least_loaded,0.038,completed,,2026-05-04T17:04:04.656212+00:00
task-0122,burst,0.3484,node-1,least_loaded,0.048,completed,,2026-05-04T17:04:11.766373+00:00
task-0123,burst,0.7237,node-1,least_loaded,0.089,completed,,2026-05-04T17:04:11.960758+00:00
task-0124,burst,0.6019,node-1,least_loaded,0.03,completed,,2026-05-04T17:04:12.068447+00:00
task-0125,burst,0.7036,node-1,least_loaded,0.085,completed,,2026-05-04T17:04:12.244622+00:00
task-0126,burst,0.6649,node-1,least_loaded,0.049,completed,,2026-05-04T17:04:13.396119+00:00
task-0127,burst,0.5681,node-1,least_loaded,0.067,completed,,2026-05-04T17:04:15.349147+00:00
task-0128,burst,0.7866,node-1,least_loaded,0.073,completed,,2026-05-04T17:04:22.631247+00:00
task-0129,burst,0.4893,node-1,least_loaded,0.039,completed,,2026-05-04T17:04:22.740938+00:00
task-0200,normal,0.1328,node-1,least_loaded,0.019,completed,,2026-05-04T17:04:22.870844+00:00
task-0201,normal,0.1744,node-1,least_loaded,0.023,completed,,2026-05-04T17:04:23.050492+00:00
task-0202,normal,0.1428,node-1,least_loaded,0.013,completed,,2026-05-04T17:04:23.301595+00:00
task-0203,normal,0.1793,node-1,least_loaded,0.022,completed,,2026-05-04T17:04:23.460799+00:00
task-0204,normal,0.1366,node-1,least_loaded,0.015,completed,,2026-05-04T17:04:23.636740+00:00
task-0205,normal,0.1557,node-1,least_loaded,0.019,completed,,2026-05-04T17:04:23.815164+00:00
task-0206,normal,0.0569,node-1,least_loaded,0.005,completed,,2026-05-04T17:04:23.982814+00:00
task-0207,normal,0.0842,node-1,least_loaded,0.011,completed,,2026-05-04T17:04:24.126741+00:00
task-0208,normal,0.0934,node-1,least_loaded,0.007,completed,,2026-05-04T17:04:24.273486+00:00
task-0209,normal,0.062,node-1,least_loaded,0.005,completed,,2026-05-04T17:04:24.427380+00:00
task-0210,normal,0.0849,node-1,least_loaded,0.011,completed,,2026-05-04T17:04:24.581015+00:00
task-0211,normal,0.0652,node-1,least_loaded,0.005,completed,,2026-05-04T17:04:26.195588+00:00
task-0212,normal,0.0917,node-1,least_loaded,0.008,completed,,2026-05-04T17:04:26.343143+00:00
task-0213,normal,0.1454,node-1,least_loaded,0.02,completed,,2026-05-04T17:04:26.533754+00:00
task-0214,normal,0.1047,node-1,least_loaded,0.009,completed,,2026-05-04T17:04:26.697334+00:00
