task_id,type,complexity,worker,strategy,latency_s,status,reason,timestamp
task-0001,normal,0.1459,node-1,least_loaded,0.008,completed,,2026-05-04T17:00:42.000181+00:00
task-0002,normal,0.0538,node-1,least_loaded,0.008,completed,,2026-05-04T17:00:42.563397+00:00
task-0003,normal,0.0913,node-1,least_loaded,0.011,completed,,2026-05-04T17:00:42.986689+00:00
task-0004,normal,0.0835,node-1,least_loaded,0.012,completed,,2026-05-04T17:00:43.150017+00:00
task-0005,normal,0.1605,node-1,least_loaded,0.017,completed,,2026-05-04T17:00:43.668200+00:00
task-0006,normal,0.1515,node-1,least_loaded,0.02,completed,,2026-05-04T17:00:44.030204+00:00
task-0007,normal,0.1838,node-1,least_loaded,0.011,completed,,2026-05-04T17:00:44.180548+00:00
task-0008,normal,0.063,node-1,least_loaded,0.008,completed,,2026-05-04T17:00:44.494437+00:00
task-0009,normal,0.1133,node-1,least_loaded,0.016,completed,,2026-05-04T17:00:44.886311+00:00
task-0010,normal,0.0545,node-1,least_loaded,0.005,completed,,2026-05-04T17:00:45.033579+00:00
