task_id,type,complexity,worker,strategy,latency_s,status,reason,timestamp
task-0001,normal,0.1459,node-1,static,0.008,completed,,2026-05-04T16:50:59.206217+00:00
task-0002,normal,0.0538,node-1,static,0.005,completed,,2026-05-04T16:50:59.344972+00:00
task-0003,normal,0.0913,node-1,static,0.011,completed,,2026-05-04T16:50:59.499035+00:00
task-0004,normal,0.0835,node-1,static,0.009,completed,,2026-05-04T16:50:59.665955+00:00
task-0005,normal,0.1605,node-1,static,0.011,completed,,2026-05-04T16:50:59.825705+00:00
task-0006,normal,0.1515,node-1,static,0.018,completed,,2026-05-04T16:50:59.997457+00:00
task-0007,normal,0.1838,node-1,static,0.02,completed,,2026-05-04T16:51:00.166692+00:00
task-0008,normal,0.063,node-1,static,0.007,completed,,2026-05-04T16:51:00.313791+00:00
task-0009,normal,0.1133,node-1,static,0.017,completed,,2026-05-04T16:51:00.492705+00:00
task-0010,normal,0.0545,node-1,static,0.008,completed,,2026-05-04T16:51:00.639570+00:00
