task_id,type,complexity,worker,strategy,latency_s,status,reason,timestamp
task-0001,normal,0.1459,worker-2,least_loaded,0.1447,completed,,2026-04-11T07:32:03.807441+00:00
task-0002,normal,0.0538,worker-3,least_loaded,0.0578,completed,,2026-04-11T07:32:04.060765+00:00
task-0003,normal,0.0913,worker-1,least_loaded,0.0827,completed,,2026-04-11T07:32:04.306582+00:00
task-0004,normal,0.0835,worker-2,least_loaded,0.0812,completed,,2026-04-11T07:32:04.567989+00:00
task-0005,normal,0.1605,worker-3,least_loaded,0.1681,completed,,2026-04-11T07:32:04.918631+00:00
task-0100,burst,0.6383,worker-1,least_loaded,0.5579,completed,,2026-04-11T07:32:05.666537+00:00
task-0101,burst,0.7461,worker-2,least_loaded,0.6079,completed,,2026-04-11T07:32:06.355673+00:00
task-0102,burst,0.3435,worker-3,least_loaded,0.3318,completed,,2026-04-11T07:32:06.765588+00:00
task-0103,burst,0.511,worker-1,least_loaded,0.6093,completed,,2026-04-11T07:32:07.477200+00:00
task-0104,burst,0.3149,worker-2,least_loaded,0.3016,completed,,2026-04-11T07:32:07.887235+00:00
task-0105,burst,0.4093,worker-3,least_loaded,0.4056,completed,,2026-04-11T07:32:08.409216+00:00
task-0106,burst,0.5527,worker-1,least_loaded,0.6287,completed,,2026-04-11T07:32:09.129570+00:00
task-0107,burst,0.3133,worker-2,least_loaded,0.2729,completed,,2026-04-11T07:32:09.448942+00:00
task-0200,normal,0.0798,worker-3,least_loaded,0.0771,completed,,2026-04-11T07:32:09.594983+00:00
task-0201,normal,0.1475,worker-1,least_loaded,0.1689,completed,,2026-04-11T07:32:09.938571+00:00
task-0202,normal,0.1317,worker-2,least_loaded,0.1078,completed,,2026-04-11T07:32:10.236080+00:00
task-0203,normal,0.0831,worker-3,least_loaded,0.0737,completed,,2026-04-11T07:32:10.500467+00:00
task-0204,normal,0.1384,worker-1,least_loaded,0.1654,completed,,2026-04-11T07:32:10.839390+00:00
task-0205,normal,0.1714,worker-2,least_loaded,0.1898,completed,,2026-04-11T07:32:11.211579+00:00
task-0206,normal,0.051,worker-3,least_loaded,0.0496,completed,,2026-04-11T07:32:11.438565+00:00
